player,position,x,y,minute,xg,outcome,shot_type,body_part,match_id
Pedro González López,Center Attacking Midfield,113.1,39.3,1,0.20873496,Saved,Open Play,Head,3930172
Nicholas Williams Arthuer,Left Wing,112.6,43.2,9,0.16577838,Off T,Open Play,Head,3930172
Álvaro Borja Morata Martín,Center Forward,101.1,29.8,14,0.045866285,Blocked,Open Play,Right Foot,3930172
Álvaro Borja Morata Martín,Center Forward,115.3,49.5,23,0.0889132,Saved,Open Play,Right Foot,3930172
Fabián Ruiz Peña,Left Defensive Midfield,88.6,42.3,24,0.020980582,Saved,Open Play,Left Foot,3930172
Rodrigo Hernández Cascante,Right Defensive Midfield,83.3,37.9,26,0.0063212407,Off T,Open Play,Right Foot,3930172
Rodrigo Hernández Cascante,Right Defensive Midfield,99.7,38.8,27,0.06796482,Blocked,Open Play,Right Foot,3930172
Fabián Ruiz Peña,Left Defensive Midfield,93.4,47.8,36,0.018837484,Off T,Open Play,Left Foot,3930172
Fabián Ruiz Peña,Left Defensive Midfield,94.8,46.2,40,0.05605037,Saved,Open Play,Left Foot,3930172
Pedro González López,Center Attacking Midfield,110.9,35.1,51,0.22276898,Off T,Open Play,Right Foot,3930172
Pedro González López,Center Attacking Midfield,92.3,35.6,52,0.031200469,Saved,Open Play,Right Foot,3930172
Álvaro Borja Morata Martín,Center Forward,113.8,27.3,54,0.043265585,Saved Off Target,Open Play,Head,3930172
Álvaro Borja Morata Martín,Center Forward,93.0,33.9,57,0.039537966,Saved,Open Play,Right Foot,3930172
Robin Aime Robert Le Normand,Right Center Back,113.0,44.1,57,0.07005949,Blocked,Open Play,Head,3930172
Lamine Yamal Nasraoui Ebana,Right Wing,97.3,55.7,59,0.022184672,Off T,Open Play,Left Foot,3930172
Nicholas Williams Arthuer,Left Wing,103.5,21.2,69,0.0101199495,Post,Open Play,Right Foot,3930172
Ayoze Pérez Gutiérrez,Left Wing,109.9,29.1,80,0.081019565,Blocked,Open Play,Left Foot,3930172
