x,y,match_id
56.3,19.8,3942226
3.6,43.3,3942226
34.4,35.3,3942226
47.7,55.0,3942226
104.7,7.1,3942226
47.7,25.9,3942226
11.0,46.1,3942226
89.8,62.7,3942226
86.6,77.5,3942226
53.1,6.7,3942226
110.3,39.5,3941018
100.3,40.6,3941018
61.7,5.2,3941018
95.2,77.0,3941018
98.8,8.5,3941018
89.5,60.4,3941018
83.0,58.3,3941018
100.6,39.0,3941018
65.3,6.3,3941018
91.2,52.9,3941018
95.8,61.6,3941018
79.5,20.7,3941018
54.8,20.2,3941018
28.1,44.9,3941018
23.3,28.9,3941018
98.6,67.8,3941018
107.9,70.1,3941018
91.8,59.6,3941018
77.2,20.4,3941018
98.1,29.5,3941018
83.3,13.9,3941018
66.7,26.2,3941018
86.3,59.6,3941018
93.5,63.6,3941018
28.7,19.8,3941018
80.5,9.9,3941018
81.0,50.8,3941018
104.6,26.5,3941018
110.7,8.6,3941018
53.2,73.9,3941018
81.9,28.4,3941018
23.5,63.7,3941018
69.5,51.4,3941018
100.1,41.8,3941018
55.4,8.5,3941018
12.3,26.5,3941018
63.1,27.0,3941018
90.6,45.9,3941018
117.0,74.9,3941018
98.2,22.0,3941018
35.6,54.6,3930179
88.6,52.8,3930179
67.2,54.6,3930179
14.8,48.5,3930179
100.7,76.7,3930179
33.9,59.9,3930179
72.0,16.3,3930179
25.1,26.8,3930179
62.4,66.5,3930179
66.3,48.2,3930179
63.1,48.5,3930179
41.9,67.3,3930179
82.0,47.1,3930179
5.0,53.2,3930179
76.7,7.3,3930179
103.7,6.7,3930179
42.7,41.5,3930179
114.8,63.1,3930179
105.3,50.7,3930179
13.7,30.4,3930179
102.1,33.4,3930179
39.2,8.4,3930179
100.1,47.4,3930179
83.1,73.4,3930179
74.1,29.4,3930179
83.2,48.5,3930179
21.7,39.5,3930179
13.5,57.3,3930179
64.2,11.5,3930179
68.9,26.9,3930179
103.6,42.9,3930179
92.3,76.3,3930179
75.2,60.1,3930179
34.4,22.7,3930179
102.7,21.2,3930179
113.1,72.0,3930179
108.3,55.3,3930179
67.4,76.3,3930179
65.0,75.2,3930179
96.4,62.0,3930179
3.8,46.5,3930179
28.9,4.9,3930179
12.6,54.5,3930179
78.4,4.7,3930179
34.9,26.6,3930179
13.5,19.2,3930179
20.6,49.1,3930179
47.9,76.6,3930179
20.0,32.8,3930179
22.8,23.8,3930172
10.6,34.5,3930172
79.7,15.2,3930172
89.7,24.4,3930172
81.1,19.5,3930172
56.8,42.2,3930172
13.6,34.7,3930172
107.1,42.9,3930172
91.9,55.7,3930172
109.7,71.6,3930172
91.7,53.5,3930172
105.0,3.5,3930172
62.5,5.3,3930172
63.9,6.8,3930172
54.5,6.8,3930172
95.6,48.4,3930172
95.3,60.8,3930172
66.2,37.3,3930172
51.0,51.3,3930172
89.8,54.8,3930172
72.1,44.8,3930172
90.4,37.3,3930172
106.0,58.9,3930172
104.6,18.3,3930172
103.3,23.8,3930172
86.3,9.2,3930172
4.6,61.8,3930172
82.2,9.7,3930172
76.5,75.8,3930172
61.5,8.9,3930172
36.6,64.3,3930172
102.0,73.7,3930172
25.1,33.3,3930172
21.3,52.8,3930172
10.9,28.3,3930172
65.8,52.0,3930172
50.8,56.8,3930172
108.5,17.1,3930172
3.8,13.7,3930172
83.4,8.3,3930172
28.8,6.5,3930172
34.8,56.3,3930172
40.9,68.9,3930172
39.3,63.2,3930172
28.5,25.3,3930160
84.4,3.4,3930160
105.1,55.6,3930160
80.5,54.3,3930160
77.4,58.8,3930160
83.4,4.3,3930160
65.9,70.1,3930160
9.2,63.9,3930160
66.7,19.4,3930160
85.9,77.4,3930160
63.0,19.9,3930160
35.6,15.6,3930160
106.8,65.2,3930160
43.6,29.9,3930160
35.6,29.4,3930160
92.7,76.4,3930160
83.9,70.8,3930160
64.5,52.5,3930160
57.2,44.0,3930160
50.2,64.0,3930160
16.8,39.6,3930160
89.2,34.0,3930160
82.8,9.3,3930160
3.6,50.6,3930160
70.0,48.8,3930160
69.8,4.5,3930160
43.1,63.4,3930160
31.9,8.0,3930160
57.7,27.4,3930160
22.6,56.7,3930160
82.6,5.8,3930160
62.5,3.8,3930160
43.9,43.5,3930160
33.3,79.1,3930160
64.7,74.2,3930160
43.7,46.6,3930160
77.8,7.3,3930160
71.8,16.1,3930160
26.8,22.6,3930160
